更新时间,#genre#
2025-03-25 02:08:41,url
央视频道,#genre#:
CCTV央视文化精品,http://223.145.224.118:8000/udp/239.76.254.56:9000
CCTV央视高尔夫,http://223.145.224.129:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.129:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.118:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.118:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.129:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.118:8000/udp/239.76.254.62:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.118:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.129:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.118:8000/udp/239.76.254.55:9000
CCTV怀旧剧场,http://223.145.224.129:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.129:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.129:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.129:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.129:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.118:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.118:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.118:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.118:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.129:8000/udp/239.76.254.53:9000
CCTV电视指南,http://223.145.224.129:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.129:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.129:8000/udp/239.76.254.61:9000
